timestamp,metric,service,value,unit,signal
2026-01-15T12:21:00+00:00,consumer_lag_spike,payments-consumer,168.93,score,expected_evidence
2026-01-15T12:21:00+00:00,deserialize_errors,payments-consumer,199.13,score,expected_evidence
2026-01-15T12:21:00+00:00,stable_broker_cpu,payments-consumer,314.64,score,expected_evidence
2026-01-15T12:23:00+00:00,service_error_rate,payments-consumer,0.0955,ratio,impact
2026-01-15T12:23:00+00:00,service_p95_latency_ms,payments-consumer,8209,milliseconds,impact
2026-01-15T12:23:00+00:00,consumer_lag_spike,payments-consumer,168.99,score,expected_evidence
2026-01-15T12:23:00+00:00,deserialize_errors,payments-consumer,250.16,score,expected_evidence
2026-01-15T12:23:00+00:00,stable_broker_cpu,payments-consumer,287.27,score,expected_evidence
2026-01-15T12:25:00+00:00,service_error_rate,payments-consumer,0.115,ratio,impact
2026-01-15T12:25:00+00:00,service_p95_latency_ms,payments-consumer,3870,milliseconds,impact
2026-01-15T12:25:00+00:00,consumer_lag_spike,payments-consumer,92.8,score,expected_evidence
2026-01-15T12:25:00+00:00,deserialize_errors,payments-consumer,270.87,score,expected_evidence
2026-01-15T12:25:00+00:00,stable_broker_cpu,payments-consumer,310.88,score,expected_evidence
